timestamp_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw
301988248.0,-0.1523,0.167,-1.7852,45.939,121.22,16.099,-10.204345611184113,-12.183596717876814,-45.695464879998994
302001248.0,-0.0693,0.21,-1.9209,29.459,117.924,19.455,-6.150216002791246,-10.39770459286826,-45.439761769998995
302014248.0,-0.0093,0.2129,-2.2041,15.604,111.332,22.019,-2.3392461970323755,-8.767778283495872,-45.150726659998995
302027248.0,0.0405,0.165,-2.3022,2.482,105.412,23.972,1.2566864609407067,-7.270789116826732,-44.836302549999
302040248.0,0.1304,0.0854,-2.3804,-4.11,84.172,27.207,4.737613012110689,-6.116903325185097,-44.479823439998995
302053248.0,0.1826,-0.0068,-2.4502,-13.265,42.973,24.155,0.8765601784658532,-5.533540278223768,-44.16302032999899
302066248.0,0.2749,-0.0161,-2.4541,-28.341,-8.114,19.578,-3.0950024572206454,-5.65527794767085,-43.905718219998995
302079248.0,0.3721,-0.0586,-2.4697,-38.656,-44.735,11.887,-7.0988798531603905,-6.284620614761993,-43.74839910999899
302092248.0,0.4595,-0.0923,-2.541,-33.895,5.802,13.962,-10.947602994085502,-6.291093984548389,-43.56410499999899
302105248.0,0.3706,-0.0117,-2.4214,-19.064,-6.832,15.488,-14.56647407612291,-6.427554001117544,-43.359972889998986
302118248.0,0.3564,0.0103,-2.2949,-6.552,-33.321,15.061,-10.764244859348754,-6.901272176038256,-43.161391779998986
302131248.0,0.2993,0.0273,-2.1245,2.054,-60.543,12.681,-6.938001007515954,-7.696142948314499,-42.99375066999899
302144248.0,0.2407,0.0376,-1.9629,5.961,-78.426,12.742,-3.1457302621529086,-8.682371576530027,-42.82531655999899
302157248.0,0.1929,0.0693,-1.7866,9.623,-92.647,13.108,0.5948702832520114,-9.813412719299935,-42.652124449998986
302170248.0,0.1743,0.0605,-1.6211,8.829,-80.501,11.338,4.252223512691957,-10.766589445840507,-42.50194233999898
302183248.0,0.1016,0.0488,-1.5093,10.111,-54.195,11.277,7.858470640145518,-11.319894195116232,-42.35255322999898
302196248.0,0.0225,0.0552,-1.3643,4.74,-56.27,9.934,11.314865297158926,-11.830467484252985,-42.22062311999898
302209248.0,-0.0952,0.0576,-1.1641,-0.692,-121.212,-0.503,14.622613180132168,-13.045918085711113,-42.22437400999898
302222248.0,-0.0156,0.0356,-1.1216,-21.688,-122.799,-6.24,17.61701151152391,-14.334739955847011,-42.30270589999898
302235248.0,-0.041,0.0352,-1.0483,-30.111,-117.855,-9.841,20.44210913332777,-15.505958177916629,-42.427850789998985
302248248.0,-0.0669,0.04,-0.9028,-37.557,-115.169,-11.428,23.103567622759364,-16.579624343334185,-42.57362667999899
302261248.0,-0.0439,0.0332,-0.8306,-40.365,-108.577,-11.978,25.680982321529612,-17.572051961792052,-42.72655256999899
302274248.0,-0.0566,0.0459,-0.709,-39.633,-103.878,-12.71,28.187871421410932,-18.45413095070223,-42.88899445999898
302287248.0,-0.0386,0.0566,-0.6157,-37.74,-100.765,-12.771,30.637775330555648,-19.29855818288951,-43.05222934999898
302300248.0,-0.0059,0.0327,-0.5215,-33.895,-95.15,-13.992,33.120953573851686,-20.113069764670936,-43.23133723999898
302313248.0,0.0103,0.0527,-0.4399,-29.501,-86.91,-15.579,35.54557757451629,-20.84588754201694,-43.43107612999898
302326248.0,0.0571,0.0522,-0.4082,-24.008,-77.022,-16.067,37.98257246752217,-21.569430120244718,-43.637159019998975
302339248.0,0.0791,0.0498,-0.3389,-18.881,-66.463,-16.25,40.41470119916527,-22.24604915945551,-43.84562090999898
302352248.0,0.0894,0.0479,-0.2749,-12.96,-58.101,-14.602,42.84312652410369,-22.8978354164339,-44.03265879999898
